Name,Price,Image-link,Links
Apple macbook Air M1 (8/512ssd) mgna3ll,"18,000.00",https://frankotrading.com/wp-content/uploads/2022/07/macbook-airr-4-300x300.jpg,https://frankotrading.com/product/apple-macbook-air-m1-8-512ssd-mgna3ll/
Apple Macbook Pro M1 (8gb/256ssd) Myd82ll,"18,200.00",https://frankotrading.com/wp-content/uploads/2022/01/macbook-pro-5-300x300.jpg,https://frankotrading.com/product/apple-macbook-pro-m1-8gb-256ssd-myd82ll/
Apple Macbook Air M1 (8/256ssd) Mgn63ll Grey,"15,300.00",https://frankotrading.com/wp-content/uploads/2022/07/macbook-air-1-300x300.jpg,https://frankotrading.com/product/apple-macbook-air-m1-8-256ssd-mgn63ll-grey/
Huawei matebook D14 i5 (8gb/512gb) 11th gen 14”,"10,580.00",https://frankotrading.com/wp-content/uploads/2022/07/D14-300x300.jpg,https://frankotrading.com/product/huawei-matebook-d14-i5-8gb-512gb-11th-gen-14/
Lenovo i5 ideapad 3 (4/1tb) 15itl05 11th,"6,870.00",https://frankotrading.com/wp-content/uploads/2022/06/ideapad-3-300x300.jpg,https://frankotrading.com/product/lenovo-i5-ideapad-3-4-1tb-15itlo-11th/
HP Envy i5 (8/512ssd) 15-ED1055 11th x360 Touchscreen,"11,700.00",https://frankotrading.com/wp-content/uploads/2022/06/1055-1-300x300.jpg,https://frankotrading.com/product/hp-envy-i5-8-512ssd-15-ed1055-11th-x360-touchscreen/
HP Pavilion i5 (12/512ssd) 15-EG1053cl Touchscreen,"10,000.00",https://frankotrading.com/wp-content/uploads/2022/06/1053-2-300x300.jpg,https://frankotrading.com/product/hp-pavilion-i5-12-512ssd-15-eg1053cl-touchscreen/
Hp pavilion i5 (8/256ssd) 14-dw1076nr x360 Touchscreen,"10,800.00",https://frankotrading.com/wp-content/uploads/2022/06/1076-22-300x300.jpg,https://frankotrading.com/product/hp-pavilion-i5-8-256ssd-14-dw1076nr-x360-touchscreen/
Hp pavilion i5 (8/256ssd) 14-dv0065st,"8,000.00",https://frankotrading.com/wp-content/uploads/2022/06/0065st-300x300.jpg,https://frankotrading.com/product/hp-pavilion-i5-8-256ssd-14-dv0065st/
Hp i7 Notebook (12/512ssd) 14-Dq4045cl 11th Gen,"11,500.00",https://frankotrading.com/wp-content/uploads/2022/05/4045-1-300x300.jpg,https://frankotrading.com/product/hp-i7-notebook-12-512ssd-14-dq4045cl-11th-gen/
